ID;Active;Name;Categories;Price tax included;Tax rules ID;Reference;Description;Short description;Weight;Image URLs;URL rewritten
22;1;Green paradise - painting by Angelina;40;445.38;1;6/10Still;Green paradise painting by artist Angelina Size 60x60 cm Canvas oil;Green paradise - painting by Angelina. Size 60x60 cm. Canvas oil.;;https://aspriter.am/25-home_default/green-paradise-by-angelina.jpg;angelina-paintings-shop-category/22-green-paradise-by-angelina
23;1;Purple composition - painting by Angelina;40;420.17;1;6/2018-10-Angelina;Purple composition - painting by world artist Angelina Size 40x50cm Canvas oil;Purple composition - painting by world artist Angelina. Size 40x50cm. Canvas, oil.;;https://aspriter.am/26-home_default/purple-composition-painting-by-angelina.jpg;angelina-paintings-shop-category/23-purple-composition-painting-by-angelina
24;1;Windy - painting by world artist Angelina - 500 EUR;40;420.17;1;6/10Still;Windy - painting by world artist Angelina - 500 EUR Size 50x60cm Canvas oil;Windy - painting by world artist Angelina - 500 EUR. Size 50x60cm. Canvas, oil.;;https://aspriter.am/27-home_default/windy-painting-by-world-artist-angelina-500-eur.jpg;angelina-paintings-shop-category/24-windy-painting-by-world-artist-angelina-500-eur
25;1;Look of the Soul - painting by world artist Angelina - 550 EUR;40;462.18;1;6/2018-10-Angelina;Look of the Soul - painting by world artist Angelina - 550 EUR Size 40x50cm Canvas oil;Look of the Soul - painting by world artist Angelina - 550 EUR. Size 40x50cm. Canvas, oil.;;https://aspriter.am/28-home_default/look-of-the-soul-painting-by-world-artist-angelina-550-eur.jpg;angelina-paintings-shop-category/25-look-of-the-soul-painting-by-world-artist-angelina-550-eur
26;1;Charming stone house in Evia - Greece - 100000 EUR;29;100000.00;1;Immobilien.gr/evcp;Charming stone house in Evia - Greece We offer more than others in Greece This beautiful newly built stone house (prefabricated) on the island of Evia, which, an off-plan offer. The island is connected to the mainland by two bridgesis. Our beautiful stone house has a living space of 50 m², is built with high quality materials in the traditional style typical for Greece. The facade of the house is built with hand-hewn natural stone. The windows are from the company Tsigas, tiles from Keope and the bathroom is from Ideal Standard. The purchase price does not include one. The house has the energy saving class B+. Purchase price: EUR 100,000 plus approx 5.5% additional costs Free of commission for the buyer For more information, please request the construction and performance description. We have several plots in our portfolio. On request we can send you a few offers. Are you interested or do you have questions? Please feel free to request our information material or contact us: +49 2241 881990 or send us your inquiry to: arzumanidis@t-online.de;Charming stone house in Evia - Greece. 100000 EUR.;;https://aspriter.am/29-home_default/charming-stone-house-in-evia-.jpg;greece-real-estate-category/26-charming-stone-house-in-evia-
29;1;Beeswax Cream - by Manis Rose - 100 gr;34;5.04;1;1/2018/2-107;Beeswax Cream - by Manis Rose 100 g;Beeswax Cream - by Manis Rose - 100 gr.;0.100000;https://aspriter.am/44-home_default/beeswax-cream-by-manis-rose-.jpg;manis-rose-shop-category/29-beeswax-cream-by-manis-rose-
30;1;Beeswax Cream for face - Hios - by Manis Rose - 100 gr;34;6.72;1;1/2018/2-107;Beeswax Cream - Hios - by Manis Rose 100 gr;Beeswax Cream for face - Hios - by Manis Rose.;0.100000;https://aspriter.am/45-home_default/beeswax-cream-for-face-hios-by-manis-rose.jpg;manis-rose-shop-category/30-beeswax-cream-for-face-hios-by-manis-rose
31;1;Olive Oil Soap Levanter&Camomile - by Manis Rose - 100 gr;34;3.36;1;1/2018/2-105;Olive Oil Soap Levanter&Camomile - by Manis Rose Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way. Olive oil is very rich in vitamins and antioxidants. Olive oil protects your skin from dehydration and has a relaxing and moisturizing effect. Ingredients Sodium olivate, Aqua, Sodium coconate, Lea eyropaea, fruit oil, Chamomille flowers extracts, Cera alba, Lavantula angustifolla, Hydroalcoholic tincture, Tokepherol acetate E, perfume, Linalcol-Limenene. Suitable for sensitive skin, fresh skin care.;Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way.;0.100000;https://aspriter.am/46-home_default/olive-oil-soap-levantercamomile-by-manis-rose-100-gr.jpg;manis-rose-shop-category/31-olive-oil-soap-levantercamomile-by-manis-rose-100-gr
32;1;Olive Oil Soap - Pomegranate - by Manis Rose - 100 g;34;4.00;1;1/2018/2-107;Olive Oil Soap - Pomegranate - by Manis Rose - 100 g Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way. Olive oil is very rich in vitamins and antioxidants. Olive oil protects your skin from dehydration and has a relaxing and moisturizing effect. Ingredients Sodium olivate, Aqua, Sodium coconate, Punica Granatum, Hydroalcoholic tincture Punica granatum, Tokepherol acetate E citroellol, Geraniol-Unacol. Suitable for combination skin and oily skin.;Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way.;0.100000;https://aspriter.am/47-home_default/olive-oil-soap-pomegranate-by-manis-rose-100-g.jpg;manis-rose-shop-category/32-olive-oil-soap-pomegranate-by-manis-rose-100-g
33;1;Olive Oil Soap with Honey - by Manis Rose - 100g;34;3.36;1;1/2018/2-105;Olive Oil Soap with Honey -by Manis Rose - 100g Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way. Olive oil is very rich in vitamins and antioxidants. Olive oil protects your skin from dehydration and has a relaxing and moisturizing effect. Ingredients Sodium olivate, Aqua, Sodium coconate, Cera Alba, Propolis, Hydroalcoholic tincture, Perfume, Tokepherol acetate E, Coumarin. Suitable for normal and dry skin, gentle cleansing, regeneration of nutrition.;Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way.;0.100000;https://aspriter.am/48-home_default/olive-oil-soap-with-honey-by-manis-rose-100g.jpg;manis-rose-shop-category/33-olive-oil-soap-with-honey-by-manis-rose-100g
34;1;Olive oil soap with prickly pear cactus - Manis Rose - 100g;34;3.36;1;1/2018/2-107;Olive oil soap with prickly pear cactus - Manis Rose - 100g Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed. The soap is produced in a traditional way. Olive oil is very rich in vitamins and antioxidants. Olive oil protects your skin from dehydration and has a relaxing and moisturizing effect. Natural soap without perfume. Ingredients Sodium olivate, Aqua, Sodium coconate, Prickly pear, Hydroalcoholic tincture, Cera alba, Tokepherol acetate E, Butyphenyl Methyl prepional, Hydroxycitronellal, Alpha-Isomenthy lonone. Suitable as fresh skin care.;Olive oil soap with prickly pear cactus - Manis Rose - 100g. Greek olive soap with 100% olive oil and biodegradable. Hygienically clean packed.;0.100000;https://aspriter.am/49-home_default/olive-oil-soap-with-prickly-pear-cactus-manis-rose-100g.jpg;manis-rose-shop-category/34-olive-oil-soap-with-prickly-pear-cactus-manis-rose-100g
